NAME                     INSTALLED                         FIXED-IN                                    TYPE    VULNERABILITY        SEVERITY   
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-40674       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-37436       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-36760       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25315       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25314       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25313       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23990       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23943       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23852       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22827       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22826       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22825       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22824       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22823       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22822       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22720       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22719       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-46143       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-40438       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-39275       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-36160       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-34798       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-33193       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-31618       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-30641       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-26691       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-26690       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-9490        Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-13938       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11993       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11984       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-9517        Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-17567       Medium      
